Week,Influenza_A_virus_subtype_H9N2,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2012-01,96,20355,5352,8204,35750,8158,362,36463,2040,138,41026,1406,4465,7595,627,170,1972,6219,221,2525,201,1685,8583,451,2273,478,35030727,5759,13432,10009,729,11632
2012-02,82,16760,4851,8331,28060,9194,327,31689,1764,119,36789,1245,2984,6172,566,187,2161,4277,133,2293,208,1407,5075,482,1354,422,28059371,3771,13180,9311,553,12163
2012-03,107,17888,4579,7208,27748,8590,312,31671,1661,109,36541,1003,3391,8409,661,153,1761,4825,125,2689,186,1316,4574,380,1393,336,49469564,4227,13004,9215,686,12409
2012-04,77,16900,4934,7992,26761,8904,348,32236,1918,134,37253,1030,3984,7173,559,136,1871,5197,108,2603,220,1262,4646,428,1386,421,28549343,4059,13148,7885,622,12204
2012-05,80,17947,4917,8166,27004,9335,419,34821,1761,127,38959,979,4780,7118,599,142,1690,3955,142,2746,272,1401,4502,415,1751,457,28539870,3907,14062,11843,591,13015
2012-06,93,19060,4559,8501,28128,8828,338,34921,1833,129,40069,971,5193,6766,519,158,2160,3413,122,2943,197,1507,4251,475,1901,456,40977812,3828,13337,9131,654,13719
2012-07,109,75370,4957,9285,27626,8724,373,36606,1919,110,42604,1182,6044,7547,647,170,2948,5085,110,3547,271,1659,4485,433,2108,527,53855826,4525,13497,8433,710,11955
2012-08,109,41638,5007,8614,27747,9021,364,37373,2004,125,44762,1536,7265,7723,614,226,1961,4003,142,3101,214,1857,4602,430,3061,550,54140605,4602,14312,8843,793,12596
2012-09,107,24059,4734,8719,25462,9365,470,36547,1958,132,45482,1262,7622,7671,600,141,2104,3502,739,2791,253,1969,4616,486,2893,516,53927389,4716,17692,9319,767,12742
2012-10,89,20878,4323,8129,22778,9195,380,37086,1725,122,42356,1312,9499,8183,607,158,1749,3241,1623,2623,189,2059,4533,441,2839,512,52447255,4905,14361,9210,588,11875
2012-11,109,15954,4051,8092,19680,8098,347,30624,1492,112,34759,1084,6658,7735,552,124,1738,2583,300,2543,197,2386,4322,444,2657,438,51494102,4458,12505,9572,519,11405
2012-12,71,14491,3680,9094,17279,7635,334,25793,1244,131,31484,884,7937,6929,505,104,1235,2176,241,2236,189,1503,4400,390,2505,451,50256469,3641,12238,13605,489,11323
2012-13,88,13567,4087,8201,16956,7629,316,31515,1159,101,29202,798,4862,6918,464,120,984,2512,173,1989,177,1329,4300,417,2331,436,53957762,3635,12112,11760,469,11257
2012-14,77,11871,3492,7933,15640,6715,569,22098,1197,118,25154,846,4455,7532,419,94,836,2573,101,1854,198,1219,3658,388,1999,463,55877197,3686,10552,14351,472,10022
