week,incidence
2011-42,0.01
2011-43,0
2011-44,0
2011-45,0
2011-46,0
2011-47,0.02
2011-48,0.01
2011-49,0.03
2011-50,0.02
2011-51,0.02
2011-52,0.02
2012-01,0.02
2012-02,0.03
2012-03,0.05
2012-04,0.11
2012-05,0.12
2012-06,0.26
2012-07,0.55
2012-08,1.03
2012-09,1.57
2012-10,1.69
2012-11,1.96
2012-12,1.88
2012-13,1.42
2012-14,0.74
2012-15,0.41
