week,incidence
2014-42,18.0620301722
2014-43,27.2657418347
2014-44,20.0739084812
2014-45,35.2711913727
2014-46,31.0233131073
2014-47,27.7505571792
2014-48,51.5613127329
2014-49,59.4613501224
2014-50,64.9154320878
2014-51,73.4522560336
2014-52,48.9002536701
2015-01,56.9629740669
2015-02,130.6877802156
2015-03,265.9898972645
2015-04,532.9213176789
2015-05,858.5328627301
2015-06,979.363413781
2015-07,887.8844135927
2015-08,667.3293937888
2015-09,406.3883899194
2015-10,245.5008018373
2015-11,199.1013533511
2015-12,150.9545111467
2015-13,107.555089192
2015-14,105.8363787676
2015-15,39.8740818468
