week,incidence
2016-42,33.9331242319
2016-43,25.0071779863
2016-44,17.6696809064
2016-45,31.8054256314
2016-46,30.264678369
2016-47,42.6048217544
2016-48,30.0051185202
2016-49,42.4418806084
2016-50,42.1871274235
2016-51,37.4181478017
2016-52,71.328344247
2017-01,102.5981471982
2017-02,200.8474109943
2017-03,308.6032808386
2017-04,563.6108512629
2017-05,663.8996612386
2017-06,577.4627617471
2017-07,331.1506080449
2017-08,225.4443405051
2017-09,106.7637369342
2017-10,68.0329960031
2017-11,27.2840661054
2017-12,8.590901281
2017-13,11.3388326672
2017-14,8.6018730579
2017-15,4.0234567529
