week,incidence
2018-42,0.79
2018-43,0.94
2018-44,1.01
2018-45,1.47
2018-46,1.78
2018-47,2.14
2018-48,2.38
2018-49,2.75
2018-50,3.31
2018-51,3.71
2018-52,4.27
2019-01,5.72
2019-02,7.63
2019-03,10.03
2019-04,12.46
2019-05,14.03
2019-06,13.23
2019-07,11.16
2019-08,9
2019-09,6.55
2019-10,4.75
2019-11,3.66
2019-12,2.87
2019-13,2.35
2019-14,1.92
2019-15,1.51
