Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,
2012-03,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,
2012-04,,,,,,,,,,,,3984.0,,,,,,108.0,,,,,,,,28549319.0,,,,,
2012-05,,4916.0,,,,,,,,,,4780.0,,,,,,142.0,,,,,,,,28539852.0,,,,,
2012-06,,4558.0,,,,,,,,,,5193.0,,,,,,122.0,,,,,,,,40977783.0,,,,,
2012-07,,4956.0,,,,,,,,,,6044.0,,,,,,110.0,,,,,,,,53855802.0,,,8433.0,,
2012-08,,5006.0,,,,,,,,,,7265.0,,,,,,142.0,,,,,,,,54140575.0,,,8843.0,,
2012-09,,4733.0,,,,,,,,,,7622.0,,,,,,739.0,,,,,,,,53927367.0,,,9319.0,,
2012-10,,4322.0,,,,,,,,,,9499.0,,,,,,1623.0,,,,,,,,52447236.0,,,9210.0,,
2012-11,,4050.0,,,,,,,,,,6658.0,,,,,,300.0,,,,,,,,51494080.0,,,9572.0,,
2012-12,,3679.0,,,,,,,,,,7937.0,,,,,,241.0,,,,,,,,50256447.0,,,13605.0,,
2012-13,,4086.0,,,,,31515.0,,,,,4862.0,,,,,,173.0,,,,,,,,53957731.0,,,11760.0,,
2012-14,,3491.0,,,,,22098.0,,,,,4455.0,,,,,,101.0,,,1219.0,,,,,55877184.0,,,14351.0,,
