Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2009-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,
2009-03,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
2009-04,,,,,,,,,,,,281.0,,,,,,22.0,,,,,,,,48802031.0,,,,,
2009-05,,5350.0,,,,,,,,,,302.0,,,,,,28.0,,,,,,,,47949285.0,,,,,
2009-06,,5371.0,,,,,,,,,,302.0,,,,,,19.0,,,,,,,,48168380.0,,,,,
2009-07,,5218.0,,,,,,,,,,304.0,,,,,,21.0,,,,,,,,47991012.0,,,53.0,,
2009-08,,4740.0,,,,,,,,,,298.0,,,,,,7.0,,,,,,,,48453509.0,,,66.0,,
2009-09,,5531.0,,,,,,,,,,345.0,,,,,,17.0,,,,,,,,47167474.0,,,95.0,,
2009-10,,5331.0,,,,,,,,,,283.0,,,,,,23.0,,,,,,,,44371364.0,,,57.0,,
2009-11,,4781.0,,,,,,,,,,281.0,,,,,,94.0,,,,,,,,43971178.0,,,60.0,,
2009-12,,5004.0,,,,,,,,,,236.0,,,,,,21.0,,,,,,,,44583518.0,,,42.0,,
2009-13,,4764.0,,,,,24235.0,,,,,290.0,,,,,,13.0,,,,,,,,43721452.0,,,42.0,,
2009-14,,4403.0,,,,,22771.0,,,,,248.0,,,,,,11.0,,,622.0,,,,,42346461.0,,,57.0,,
2009-15,,4194.0,,,,,21329.0,,,22076.0,,255.0,,,,,,16.0,,219.0,571.0,,455.0,,,41092244.0,,,47.0,,
2009-16,,4771.0,,,,,21429.0,,,22189.0,,188.0,,,,,,13.0,,205.0,551.0,,503.0,,,40925739.0,,,70.0,,
2009-17,,21057.0,,,,,21133.0,,,80114.0,,1305.0,,,,,,47.0,,823.0,4596.0,,779.0,,,40702578.0,,,38913.0,,
2009-18,,109841.0,,,,,31174.0,,,329979.0,,6844.0,,,,,,1283.0,,4771.0,22585.0,,3614.0,,,41291783.0,,,4613006.0,,
2009-19,,21728.0,,,,,26353.0,,,96990.0,,2204.0,,,,,,447.0,,2025.0,6131.0,,3584.0,,,40741578.0,,,1006973.0,,
2009-20,,12846.0,,,,,25984.0,,,74293.0,,1639.0,,,,,,287.0,,1178.0,3362.0,,1738.0,,,44872392.0,,,330092.0,,
2009-21,,9749.0,,,,,24147.0,,,56336.0,,1397.0,,,,,,196.0,,858.0,2589.0,,1574.0,,,40445606.0,,,249271.0,,
2009-22,,7511.0,,,,,23096.0,,,43751.0,,1249.0,,,,,,186.0,,676.0,2202.0,,862.0,,,34378939.0,,,175584.0,,
2009-23,,6393.0,,,,,23157.0,,,40333.0,,1422.0,,,,,,141.0,,848.0,2776.0,,520.0,,,36917538.0,,,174673.0,,
2009-24,,8286.0,,,,,25330.0,,,44193.0,,2105.0,,,,,,410.0,,1205.0,4148.0,,589.0,,,39477710.0,,,229473.0,,
2009-25,,6564.0,,,,,24826.0,,,39314.0,,1799.0,,,,,,501.0,,1415.0,4480.0,,569.0,,,38891910.0,,,157190.0,,
2009-26,,5774.0,,,,,25224.0,,,32699.0,,1420.0,,,,,,453.0,,1162.0,3922.0,,444.0,,,39146059.0,,,162214.0,,
2009-27,,5447.0,,,,,24224.0,,,30045.0,,1281.0,,,,,,483.0,,1010.0,3381.0,,374.0,,,37643235.0,,,163286.0,,
2009-28,,5520.0,,,,,24445.0,,,30820.0,,1146.0,,,,,,408.0,,902.0,3003.0,,375.0,,,40248749.0,,,181948.0,,
2009-29,,6399.0,,,,,25675.0,,,37431.0,,1325.0,,,,,,482.0,,1055.0,3634.0,,410.0,,,37249362.0,,,269315.0,,
2009-30,,6273.0,,,,,26239.0,,,37213.0,,1182.0,,,,,,461.0,,1059.0,3204.0,,710.0,,,38034699.0,,,236239.0,,
2009-31,,5508.0,,,7559.0,,25526.0,,,47142.0,,1019.0,,,,,,349.0,,869.0,3052.0,,996.0,,,37711954.0,,,165170.0,,
2009-32,,5708.0,,,8241.0,,25066.0,,,31656.0,,1204.0,,,,,,389.0,,1071.0,3938.0,,1138.0,,,37273970.0,,,223078.0,,
2009-33,,7230.0,,,11490.0,,25159.0,,,43185.0,,1607.0,,,,,,404.0,,1810.0,8383.0,,1456.0,,,37542576.0,,,436012.0,,
2009-34,,5436.0,,,8516.0,,24370.0,,,30744.0,,992.0,,,,,,177.0,,1071.0,3847.0,,464.0,,,37250392.0,,,177909.0,,
2009-35,,5991.0,,,8789.0,,24566.0,,,37791.0,,1491.0,,,,,,278.0,,947.0,3300.0,,494.0,,,38696176.0,,,176968.0,,
2009-36,,6497.0,,,9488.0,,27249.0,,,39039.0,,6217.0,,,,,,269.0,,994.0,3444.0,,513.0,,,38722257.0,16188.0,,177960.0,,
2009-37,,6709.0,,,10515.0,,30414.0,,1083.0,41481.0,,6628.0,,,,,,253.0,,1029.0,3123.0,,536.0,,,39898308.0,16714.0,,189670.0,,
2009-38,,6677.0,,,10765.0,,32780.0,,1006.0,42044.0,,6281.0,,,,,,199.0,,920.0,2657.0,,623.0,,,40903631.0,16539.0,,157186.0,4375.0,
2009-39,,6375.0,,25610.0,10922.0,,33557.0,,911.0,43882.0,,6861.0,,,,,3694.0,162.0,,890.0,2658.0,,669.0,,,39986966.0,15968.0,,132014.0,4098.0,
2009-40,,6091.0,,26281.0,11370.0,,34341.0,3529.0,939.0,44452.0,,7104.0,71384.0,,,,3645.0,205.0,,892.0,2814.0,,720.0,,,39605695.0,17054.0,23899.0,137367.0,4509.0,
2009-41,,6253.0,,26689.0,12528.0,,36062.0,4039.0,1181.0,48145.0,,7939.0,78469.0,,,,3752.0,150.0,4954.0,900.0,2954.0,19923.0,736.0,,,39710539.0,17701.0,25038.0,142669.0,4683.0,
2009-42,,5650.0,4998.0,22253.0,9756.0,,32195.0,3625.0,1056.0,41183.0,,8358.0,69649.0,1903.0,,2458.0,3567.0,177.0,4734.0,909.0,2612.0,15690.0,702.0,,,32508248.0,16507.0,25766.0,117495.0,4047.0,
2009-43,,7851.0,6862.0,26550.0,13898.0,,45807.0,5480.0,1592.0,60380.0,,11858.0,111282.0,3055.0,,4210.0,5044.0,269.0,7135.0,1100.0,3877.0,25537.0,955.0,,,39053911.0,28134.0,32457.0,178604.0,6081.0,21506.0
