Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,
2011-03,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,
2011-04,,,,,,,,,,,,12868.0,,,,,,87.0,,,,,,,,39323939.0,,,,,
2011-05,,4085.0,,,,,,,,,,9592.0,,,,,,89.0,,,,,,,,39400291.0,,,,,
2011-06,,4156.0,,,,,,,,,,10451.0,,,,,,86.0,,,,,,,,39513552.0,,,,,
2011-07,,4168.0,,,,,,,,,,11867.0,,,,,,64.0,,,,,,,,37850938.0,,,13687.0,,
2011-08,,3943.0,,,,,,,,,,10383.0,,,,,,79.0,,,,,,,,37837469.0,,,12111.0,,
2011-09,,3935.0,,,,,,,,,,8047.0,,,,,,79.0,,,,,,,,38363819.0,,,11487.0,,
2011-10,,5451.0,,,,,,,,,,6492.0,,,,,,74.0,,,,,,,,38179668.0,,,11804.0,,
2011-11,,3578.0,,,,,,,,,,5246.0,,,,,,64.0,,,,,,,,37444813.0,,,9782.0,,
2011-12,,3307.0,,,,,,,,,,4311.0,,,,,,78.0,,,,,,,,36862104.0,,,9067.0,,
2011-13,,3228.0,,,,,28391.0,,,,,3607.0,,,,,,58.0,,,,,,,,36221687.0,,,8978.0,,
2011-14,,3274.0,,,,,27830.0,,,,,3152.0,,,,,,53.0,,,1000.0,,,,,36014876.0,,,8374.0,,
2011-15,,3220.0,,,,,27781.0,,,27218.0,,2704.0,,,,,,135.0,,159.0,936.0,,441.0,,,34894623.0,,,7421.0,,
2011-16,,2954.0,,,,,25392.0,,,21884.0,,1991.0,,,,,,80.0,,183.0,781.0,,420.0,,,33533338.0,,,6301.0,,
2011-17,,3048.0,,,,,25659.0,,,23684.0,,2020.0,,,,,,69.0,,211.0,1045.0,,509.0,,,35436211.0,,,6398.0,,
2011-18,,3021.0,,,,,24646.0,,,25264.0,,1892.0,,,,,,73.0,,213.0,1208.0,,449.0,,,35391195.0,,,7504.0,,
2011-19,,3195.0,,,,,25050.0,,,24821.0,,1918.0,,,,,,70.0,,259.0,1200.0,,483.0,,,35483307.0,,,8483.0,,
2011-20,,3180.0,,,,,23906.0,,,24523.0,,1754.0,,,,,,67.0,,200.0,1144.0,,418.0,,,33308759.0,,,8329.0,,
2011-21,,3105.0,,,,,23896.0,,,23049.0,,1672.0,,,,,,53.0,,169.0,1022.0,,357.0,,,39554593.0,,,8153.0,,
2011-22,,2982.0,,,,,26615.0,,,22032.0,,1593.0,,,,,,62.0,,152.0,974.0,,379.0,,,59853724.0,,,8344.0,,
2011-23,,2877.0,,,,,23841.0,,,19831.0,,1627.0,,,,,,83.0,,158.0,713.0,,344.0,,,32627554.0,,,8223.0,,
2011-24,,2329.0,,,,,23886.0,,,18408.0,,1480.0,,,,,,33.0,,148.0,717.0,,321.0,,,31242829.0,,,8789.0,,
2011-25,,2543.0,,,,,25400.0,,,18566.0,,1559.0,,,,,,55.0,,151.0,796.0,,333.0,,,31615596.0,,,8638.0,,
2011-26,,2277.0,,,,,24099.0,,,15990.0,,1413.0,,,,,,79.0,,122.0,646.0,,308.0,,,30887088.0,,,8256.0,,
2011-27,,2215.0,,,,,24130.0,,,16211.0,,1373.0,,,,,,72.0,,118.0,744.0,,260.0,,,30495837.0,,,7507.0,,
2011-28,,2549.0,,,,,23989.0,,,16305.0,,1341.0,,,,,,49.0,,135.0,706.0,,260.0,,,30625634.0,,,7255.0,,
2011-29,,5041.0,,,,,24088.0,,,17328.0,,1494.0,,,,,,66.0,,142.0,759.0,,242.0,,,31790491.0,,,7415.0,,
2011-30,,2538.0,,,,,24822.0,,,17013.0,,1767.0,,,,,,94.0,,155.0,828.0,,320.0,,,30426846.0,,,6991.0,,
2011-31,,2515.0,,,5193.0,,24836.0,,,16586.0,,1783.0,,,,,,64.0,,130.0,738.0,,238.0,,,29896195.0,,,6885.0,,
2011-32,,2375.0,,,5489.0,,23281.0,,,16206.0,,1886.0,,,,,,55.0,,152.0,762.0,,281.0,,,29678199.0,,,6519.0,,
2011-33,,2697.0,,,5540.0,,22398.0,,,16534.0,,1586.0,,,,,,63.0,,141.0,609.0,,279.0,,,28662521.0,,,6308.0,,
2011-34,,2601.0,,,5647.0,,22910.0,,,16690.0,,1588.0,,,,,,75.0,,140.0,683.0,,273.0,,,27587526.0,,,6569.0,,
2011-35,,4412.0,,,5988.0,,21142.0,,,16750.0,,1744.0,,,,,,104.0,,136.0,684.0,,295.0,,,26309508.0,,,6745.0,,
2011-36,,3568.0,,,6823.0,,22877.0,,,19279.0,,1683.0,,,,,,70.0,,122.0,713.0,,341.0,,,25676638.0,1920.0,,7344.0,,
2011-37,,3495.0,,,8219.0,,23801.0,,77.0,22848.0,,1868.0,,,,,,52.0,,147.0,806.0,,351.0,,,25402483.0,2015.0,,8234.0,,
2011-38,,3781.0,,,7638.0,,26210.0,,105.0,26185.0,,1983.0,,,,,,61.0,,121.0,888.0,,391.0,,,25641516.0,2140.0,,8069.0,325.0,
2011-39,,3106.0,,22554.0,7993.0,,27672.0,,100.0,26444.0,,2269.0,,,,,1725.0,77.0,,142.0,961.0,,467.0,,,26741599.0,2355.0,,8247.0,430.0,
2011-40,,3325.0,,24855.0,8492.0,,28653.0,2449.0,92.0,30563.0,,2400.0,5836.0,,,,1845.0,79.0,,199.0,1524.0,,515.0,,,30484515.0,2578.0,11748.0,9089.0,421.0,
2011-41,,3672.0,,22700.0,9340.0,,28421.0,2158.0,91.0,29658.0,,2399.0,5376.0,,,,1726.0,64.0,2187.0,182.0,1115.0,14974.0,478.0,,,28919236.0,2531.0,15387.0,8692.0,430.0,
2011-42,,3568.0,15082.0,23306.0,8660.0,,27985.0,2116.0,95.0,33310.0,,2389.0,5928.0,490.0,,877.0,1902.0,68.0,2018.0,172.0,1177.0,15208.0,599.0,,,24350749.0,2582.0,12863.0,8365.0,446.0,
2011-43,,3991.0,11567.0,24284.0,9071.0,,28690.0,2144.0,101.0,38250.0,,2535.0,6212.0,477.0,,839.0,1863.0,60.0,2247.0,187.0,1285.0,16689.0,603.0,,,25226131.0,2822.0,13496.0,8680.0,443.0,16480.0
2011-44,,3799.0,10422.0,26309.0,9285.0,,31331.0,2209.0,85.0,39844.0,1177.0,2767.0,6047.0,614.0,,831.0,1996.0,71.0,3024.0,190.0,1194.0,13684.0,599.0,,,26484283.0,2920.0,15134.0,9272.0,476.0,14421.0
2011-45,,3571.0,9278.0,26670.0,10179.0,,31147.0,2008.0,104.0,41516.0,1105.0,2925.0,6090.0,646.0,,874.0,1929.0,70.0,2941.0,205.0,1201.0,12839.0,538.0,,,26649074.0,2903.0,14422.0,9472.0,507.0,14026.0
2011-46,,3892.0,8971.0,29716.0,9914.0,,32413.0,1900.0,105.0,38567.0,1158.0,3270.0,5635.0,547.0,104.0,799.0,2180.0,124.0,2646.0,215.0,1221.0,11272.0,588.0,,,26533793.0,3109.0,13961.0,8653.0,480.0,14510.0
2011-47,,3946.0,8003.0,25435.0,7880.0,,28231.0,1437.0,130.0,30330.0,1027.0,3349.0,5378.0,462.0,115.0,1828.0,2736.0,100.0,2182.0,207.0,1123.0,8420.0,513.0,,,24983337.0,2989.0,11726.0,8016.0,468.0,12256.0
