week,incidence
2016-42,0.04
2016-43,0.04
2016-44,0.05
2016-45,0.04
2016-46,0.1
2016-47,0.15
2016-48,0.2
2016-49,0.38
2016-50,0.89
2016-51,1.39
2016-52,1.63
2017-01,2.39
2017-02,4.31
2017-03,7.1
2017-04,11.81
2017-05,17.11
2017-06,19.91
2017-07,17.56
2017-08,14.08
2017-09,7.35
2017-10,4.04
2017-11,2.06
2017-12,1.27
2017-13,0.74
2017-14,0.47
2017-15,0.19
