week,incidence
2017-42,33.3827605214
2017-43,23.4019791388
2017-44,24.2139911468
2017-45,42.0664326047
2017-46,32.8688380484
2017-47,30.9221591209
2017-48,37.8588237041
2017-49,36.374163951
2017-50,51.9630913585
2017-51,83.8832760502
2017-52,54.0663370448
2018-01,83.015644016
2018-02,98.2888799535
2018-03,110.2026835843
2018-04,166.0097028502
2018-05,161.5809617418
2018-06,156.3686726534
2018-07,145.1994817495
2018-08,162.9129766749
2018-09,166.006131758
2018-10,169.661615323
2018-11,116.2362556042
2018-12,85.1917898217
2018-13,69.8231636508
2018-14,50.5375024366
2018-15,54.6191659423
