week,incidence
2015-42,45.5014787981
2015-43,39.9784116577
2015-44,32.4772445622
2015-45,42.9300156568
2015-46,28.1175312808
2015-47,33.5553146456
2015-48,31.7924041932
2015-49,36.1958955538
2015-50,52.1001314908
2015-51,48.9774875408
2015-52,40.8610376965
2016-01,82.238265898
2016-02,78.5381433583
2016-03,104.5930342686
2016-04,120.6344860629
2016-05,120.150015877
2016-06,118.4188917029
2016-07,147.3468739522
2016-08,118.4188917029
2016-09,130.1101898711
2016-10,107.5809281941
2016-11,69.3006622063
2016-12,45.7260171706
2016-13,49.4551550712
2016-14,45.9675764416
2016-15,39.2641726955
