week,incidence
2013-42,20.2280715062
2013-43,18.5428989968
2013-44,25.0399343781
2013-45,24.3975168749
2013-46,20.6434401499
2013-47,33.2892057815
2013-48,31.6332310771
2013-49,17.6557568802
2013-50,34.2985053072
2013-51,39.7140587768
2013-52,22.5648061232
2014-01,30.1210489655
2014-02,58.4167346763
2014-03,49.8997207535
2014-04,52.6981450253
2014-05,59.8250362873
2014-06,71.5710745502
2014-07,85.4684974267
2014-08,62.6701597575
2014-09,28.6816338641
2014-10,51.3285854392
2014-11,63.5390290857
2014-12,40.8255840327
2014-13,38.8963800436
2014-14,49.5989327678
2014-15,53.4536493441
