week,incidence
2010-42,16.8876879866
2010-43,23.8065919632
2010-44,26.9786378241
2010-45,23.9396390893
2010-46,25.4469113811
2010-47,31.8939702677
2010-48,33.5419406661
2010-49,37.5502578146
2010-50,35.5916217322
2010-51,23.3828426054
2010-52,36.4087138188
2011-01,87.3004561003
2011-02,74.4122807823
2011-03,105.9005388971
2011-04,89.1873458895
2011-05,96.1447665485
2011-06,70.8593223749
2011-07,66.9458939852
2011-08,49.8718206714
2011-09,49.0604056244
2011-10,26.2982573021
2011-11,46.3463618106
2011-12,27.4305777794
2011-13,23.3434134437
2011-14,26.3784962499
2011-15,23.1638051646
