week,incidence
2016-42,25.2412644191
2016-43,28.2223255196
2016-44,31.7709946704
2016-45,36.0354834505
2016-46,54.4365813827
2016-47,43.5330851447
2016-48,57.6359897813
2016-49,61.140110205
2016-50,64.5490572835
2016-51,117.6343890053
2016-52,81.0558404257
2017-01,96.7852285717
2017-02,121.2931333234
2017-03,103.2537738828
2017-04,92.3887719524
2017-05,123.5129131035
2017-06,101.4901727808
2017-07,83.3374589501
2017-08,62.2848437408
2017-09,52.8078947803
2017-10,60.1206111954
2017-11,38.8971306582
2017-12,41.1844652197
2017-13,34.960770763
2017-14,29.5420974889
2017-15,30.4674698001
