week,incidence
2011-42,19.9093220876
2011-43,20.9362301463
2011-44,25.4281926004
2011-45,30.6706959542
2011-46,29.1112340252
2011-47,41.5837466956
2011-48,36.3867915947
2011-49,21.8249118274
2011-50,21.0135537422
2011-51,39.0022514936
2011-52,26.2795418298
2012-01,30.8948265209
2012-02,32.2661599685
2012-03,34.7953484113
2012-04,38.2259432951
2012-05,36.5236764733
2012-06,47.7871618327
2012-07,55.3114032
2012-08,50.0418828802
2012-09,55.4722815631
2012-10,78.0094421818
2012-11,43.4953708498
2012-12,38.948032197
2012-13,40.9139261913
2012-14,31.5624332779
2012-15,21.9037188705
