week,incidence
2012-42,0
2012-43,0.01
2012-44,0
2012-45,0.02
2012-46,0.02
2012-47,0.03
2012-48,0.06
2012-49,0.1
2012-50,0.2
2012-51,0.45
2012-52,0.25
2013-01,0.41
2013-02,0.95
2013-03,2.23
2013-04,4.37
2013-05,8.31
2013-06,9.67
2013-07,8.98
2013-08,11.11
2013-09,10.87
2013-10,8.96
2013-11,6.94
2013-12,5.01
2013-13,2.98
2013-14,1.99
2013-15,1.92
