Voetbal_in_Zweden, 28
Zilverbladvis, 9
Frans_graficus, 21
Dammen_in_1957, 1
Amerikaans_wetenschapper,128
Koraalvlinder, 140
Bertem, 18
Trinitariërs,9
Cerynea, 17
Wantok_Cup, 2
