week,incidence
2015-42,23.5191952817
2015-43,15.1253036877
2015-44,20.80544198
2015-45,24.0669253059
2015-46,20.0324334637
2015-47,31.8542947084
2015-48,30.1108627218
2015-49,28.7865984455
2015-50,49.9675211113
2015-51,44.9707690001
2015-52,40.1209801864
2016-01,51.0729972421
2016-02,85.4311953867
2016-03,127.4872267606
2016-04,245.1588285796
2016-05,386.384364182
2016-06,426.9283789067
2016-07,553.5392820355
2016-08,635.4203101317
2016-09,733.503805051
2016-10,662.8364830187
2016-11,525.7297042637
2016-12,370.4734779536
2016-13,166.5221953556
2016-14,78.9809204662
2016-15,22.4126162654
