week,incidence
2012-42,43.2072094315
2012-43,31.0909020248
2012-44,23.9608034305
2012-45,23.7736096537
2012-46,32.1059967737
2012-47,34.7142778247
2012-48,31.9357634929
2012-49,54.7470231306
2012-50,71.2596513759
2012-51,97.7227397611
2012-52,126.2738541982
2013-01,191.008656873
2013-02,308.9250728285
2013-03,424.8998714216
2013-04,665.3453033306
2013-05,948.9817020397
2013-06,1018.0787068558
2013-07,802.8115058545
2013-08,725.2638726005
2013-09,494.3453421942
2013-10,389.0901570913
2013-11,234.1955989476
2013-12,159.3408728771
2013-13,83.1382678182
2013-14,64.507250615
2013-15,42.3254296472
