week,incidence
2014-42,786.871743548
2014-43,723.345176782
2014-44,782.6982749163
2014-45,918.6756429929999
2014-46,775.3285907039001
2014-47,883.2200783356
2014-48,948.9130308331
2014-49,1042.2439934345
2014-50,1057.9321226925
2014-51,1250.4471181496
2014-52,48.9002536701
2015-01,56.962974066899996
2015-02,961.0418339580001
2015-03,1228.0411793158
2015-04,1711.0105772885
2015-05,2425.9679261346
2015-06,2930.6954400756
2015-07,2940.7041575669004
2015-08,2129.1919787058
2015-09,2105.9661610628
2015-10,1574.6476436688
2015-11,1335.7925934154
2015-12,1176.6258238485
2015-13,1128.7609916644
2015-14,511.1227223799
2015-15,368.49490134499996
